Celsius,Fahrenheit,Humidity
27.2,80.96,38.118256682952
25.6,78.08,45.033206433009
25.6,78.08,49.971847445519
22.8,73.04,53.268639384947
21.1,69.98,65.569642339015
20.6,69.08,65.463288484429
20.6,69.08,60.935094465892
19.4,66.92,67.813430858596
18.3,64.94,72.636050676412
18.3,64.94,75.526486555437
17.8,64.04,77.937149946939
16.7,62.059999999999995,83.550482942249
17.2,62.959999999999994,80.944625466085
15.6,60.08,86.191267982613
16.1,60.980000000000004,86.802492444119
16.1,60.980000000000004,86.802492444119
16.1,60.980000000000004,86.802492444119
19.4,66.92,75.705545650997
21.1,69.98,68.156224810371
21.1,69.98,65.569642339015
21.1,69.98,68.156224810371
21.1,69.98,65.569642339015
22.2,71.96,61.304763090957
22.8,73.04,59.110432763317
22.8,73.04,59.110432763317
24.4,75.92,53.678188152682
24.4,75.92,53.678188152682
23.3,73.94,59.611438312283
22.2,71.96,66.224956807917
21.7,71.06,70.493059791311
21.1,69.98,73.132162098067
20.6,69.08,75.416369554795
20.6,69.08,75.416369554795
20.6,69.08,75.416369554795
20.6,69.08,75.416369554795
20.6,69.08,75.416369554795
21.0,69.8,73.114660436646
20.6,69.08,75.416369554795
20.0,68.0,75.80243725045
20.0,68.0,75.80243725045
19.4,66.92,81.232642384103
,,
19.4,66.92,70.511958267618
18.9,66.02,78.101374472813
18.9,66.02,75.137365730218
18.9,66.02,75.137365730218
18.9,66.02,75.137365730218
18.3,64.94,78.012013621432
18.3,64.94,78.012013621432
18.9,66.02,78.101374472813
18.9,66.02,78.101374472813
20.0,68.0,68.377043112712
20.6,69.08,67.617642311515
20.0,68.0,70.170683098134
20.0,68.0,72.938766809286
19.4,66.92,75.705545650997
21.1,69.98,68.156224810371
20.6,69.08,70.285014011563
20.6,69.08,70.285014011563
20.6,69.08,73.044494681259
22.2,71.96,59.351542800087
22.2,71.96,57.080129993681
22.8,73.04,53.268639384947
22.8,73.04,53.268639384947
22.2,71.96,59.351542800087
21.7,71.06,58.847971651165
21.1,69.98,65.569642339015
20.6,69.08,70.285014011563
20.6,69.08,67.617642311515
20.0,68.0,72.938766809286
19.4,66.92,75.705545650997
18.9,66.02,81.167735576461
17.8,64.04,83.677642887507
18.3,64.94,81.08942108913
17.8,64.04,80.502010361801
16.7,62.059999999999995,83.550482942249
17.2,62.959999999999994,80.944625466085
16.1,60.980000000000004,83.480518260067
16.1,60.980000000000004,80.798233627009
16.7,62.059999999999995,80.352964765246
20.0,68.0,72.938766809286
20.6,69.08,70.285014011563
21.1,69.98,68.156224810371
21.7,71.06,63.203446818663
22.8,73.04,59.110432763317
22.2,71.96,63.723105176793
23.3,73.94,57.349137225921
22.8,73.04,61.442213200205
21.7,71.06,65.69668792596
20.6,69.08,73.044494681259
20.6,69.08,73.044494681259
20.0,68.0,75.80243725045
20.0,68.0,75.80243725045
20.0,68.0,75.80243725045
20.0,68.0,75.80243725045
20.0,68.0,75.80243725045
20.0,68.0,75.80243725045
20.0,68.0,72.938766809286
20.0,68.0,70.170683098134
20.0,68.0,70.170683098134
20.0,68.0,70.170683098134
